"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Asian","A",899,712143,126.2
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Asian","A",864,698330,123.7
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Asian","A",974,691836,140.8
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1017,686614,148.1
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1140,683776,166.7
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1237,683150,181.1
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1304,678349,192.2
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1481,672407,220.3
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1523,660468,230.6
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1610,638563,252.1
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1769,611383,289.3
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1900,587915,323.2
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1940,570032,340.3
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2011,557491,360.7
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2205,548800,401.8
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2380,540385,440.4
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2590,527897,490.6
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2683,521478,514.5
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2927,505968,578.5
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3123,487381,640.8
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3199,475447,672.8
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3475,466487,744.9
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3710,453523,818.0
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3873,440041,880.1
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4009,421480,951.2
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4150,403409,1028.7
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4275,383532,1114.6
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4366,369766,1180.7
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4671,353167,1322.6
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4773,335631,1422.1
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4862,318543,1526.3
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5104,298120,1712.1
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5071,274946,1844.4
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5155,251294,2051.4
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5254,227365,2310.8
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5305,204880,2589.3
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5458,189301,2883.2
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5500,175602,3132.1
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5805,161457,3595.4
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5906,147466,4005.0
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5899,133881,4406.2
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Asian","A",6220,120973,5141.6
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Asian","A",6104,107826,5661.0
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Asian","A",6060,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5879,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5735,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5434,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Asian","A",5164,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4888,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4427,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Asian","A",4101,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Asian","A",3400,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2998,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2418,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2090,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1650,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1348,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","Asian","A",955,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1836,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Title: US; 2018-2023; SYA; M; NON; ASIAN; 2023; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: Asian"
"Year/Month: 2019; 2020; 2021; 2022; 2023"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Feb 10, 2026 4:18:24 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Feb 10, 2026 4:18:24 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"4. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"6. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023"
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1"
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are"
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of"
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,"
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year"
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010"
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on"
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"8. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022."
"9. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
