"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Asian","A",330,200985,164.2
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Asian","A",348,201909,172.4
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Asian","A",414,201655,205.3
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Asian","A",384,202075,190.0
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Asian","A",462,199851,231.2
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Asian","A",506,196406,257.6
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Asian","A",548,188975,290.0
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Asian","A",587,184088,318.9
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Asian","A",640,180688,354.2
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Asian","A",671,178566,375.8
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Asian","A",707,178505,396.1
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Asian","A",760,177468,428.2
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Asian","A",813,175121,464.3
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Asian","A",889,174803,508.6
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Asian","A",920,171250,537.2
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Asian","A",974,167468,581.6
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1141,163900,696.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1133,161461,701.7
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1228,158573,774.4
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1365,154892,881.3
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1394,149854,930.2
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1408,144274,975.9
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1462,138267,1057.4
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1539,134279,1146.1
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1469,129499,1134.4
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1674,123533,1355.1
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1671,117080,1427.2
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1735,109274,1587.8
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1788,100335,1782.0
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1733,92248,1878.6
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1853,84297,2198.2
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1764,75888,2324.5
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1889,70675,2672.8
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2004,66254,3024.7
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2014,61634,3267.7
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2090,57475,3636.4
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2216,52824,4195.1
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2241,48634,4607.9
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2328,43994,5291.6
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2295,39666,5785.8
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2338,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2302,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2302,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2265,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2087,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2082,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Asian","A",2011,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1744,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1476,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1292,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Asian","A",1091,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Asian","A",933,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Asian","A",769,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Asian","A",575,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2","Asian","A",412,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2","Asian","A",867,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Title: CA; 2018-2023; SYA; M; NON; ASIAN; 2022; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Single Race 6: Asian"
"States: California (06)"
"Year/Month: 2018; 2019; 2020; 2021; 2022"
"Group By: Single-Year Ages; Sex; Hispanic Origin; Single Race 6"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Feb 10, 2026 4:15:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Feb 10, 2026 4:15:45 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"5. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"6. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Racial Differences."
"7. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023"
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1"
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are"
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of"
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,"
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year"
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010"
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on"
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"8. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"9. The U.S. - Mexico Border Regions distinguish between counties near the U.S. - Mexico border in the border states of Arizona,"
"California, New Mexico, and Texas, and other areas. To simplify the Border region analysis, two mutually exclusive regions"
"within the United States are available: 1) U.S. - Mexico Border Region (i.e., 44 counties within 100 kilometers (62 miles) of"
"the U.S. - Mexico border), and 2) the U.S. Non-Border Region with the remaining counties of the selected four border states. The"
"Border counties selection was based on the 1983 La Paz Agreement:"
"https://www.epa.gov/sites/production/files/2015-09/documents/lapazagreement.pdf.. (i.e., counties for each state which fall"
"within 100 kilometers of the Border). Statistics are also available by each of the USA border counties along the U.S.-Mexico"
"area."
"10. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
